raw_issuer_name,sources,docs_in_snapshot,canonical_issuer_id,needs_review,notes,proposed_by,proposed_date,status
URUGUAY (REPUBLICA ORIENTAL DEL),luxse,131,ury,false,,fable-architect-session,2026-07-19,proposed
URUGUAY REPUBLIC OF,edgar,150,ury,false,,fable-architect-session,2026-07-19,proposed
Republic of Uzbekistan,nsm,1,uzb,false,,fable-architect-session,2026-07-19,proposed
The Republic Of Uzbekistan,nsm,3,uzb,false,,fable-architect-session,2026-07-19,proposed
The Republic of Uzbekistan,nsm,6,uzb,false,,fable-architect-session,2026-07-19,proposed
Uzbekistan,pdip,2,uzb,false,,fable-architect-session,2026-07-19,proposed
Uzbekistan (Republic of),nsm,10,uzb,false,,fable-architect-session,2026-07-19,proposed
JSC National Bank for Foreign Economic Activity of the Republic of Uzbekistan,nsm,1,uzb-nbu,false,,fable-architect-session,2026-07-19,proposed
Joint Stock Company National Bank for Foreign Economic Activity of the Republic of Uzbekistan,nsm,2,uzb-nbu,false,,fable-architect-session,2026-07-19,proposed
National Investment Fund of the Republic of Uzbekistan;,nsm,2,uzb-nif,true,Raw name carries a stray semicolon,fable-architect-session,2026-07-19,proposed
BOLIVARIAN REPUBLIC OF VENEZUELA,edgar,8,ven,false,,fable-architect-session,2026-07-19,proposed
VENEZUELA (BOLIVARIAN REPUBLIC OF),luxse,60,ven,false,,fable-architect-session,2026-07-19,proposed
Venezuela,pdip,39,ven,false,,fable-architect-session,2026-07-19,proposed
VIETNAM (THE SOCIALISTIC REPUBLIC OF),luxse,2,vnm,false,,fable-architect-session,2026-07-19,proposed
XXI CENTURY INVESTMENTS PUBLIC LIMITED,luxse,1,xxi-century-investments-public-limited,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
NATIONAL TREASURY OF THE REPUBLIC OF SOUTH AFRICA,luxse,3,zaf,true,TEAL GATE: as above,fable-architect-session,2026-07-19,proposed
National Treasury of the Republic of South Africa,nsm,1,zaf,true,TEAL GATE: National Treasury filings mapped to the Republic as issuer of record,fable-architect-session,2026-07-19,proposed
REPUBLIC OF SOUTH AFRICA,edgar,68,zaf,false,,fable-architect-session,2026-07-19,proposed
SOUTH AFRICA (REPUBLIC OF),luxse,83,zaf,false,,fable-architect-session,2026-07-19,proposed
South Africa (Government of),nsm,1,zaf,false,,fable-architect-session,2026-07-19,proposed
ZELEZNICE SLOVENSKEJ REPUBLIKY,luxse,1,zeleznice-slovenskej-republiky,false,Display cleanup only; corporate issuer,fable-architect-session,2026-07-19,proposed
Republic of Zambia,nsm,2,zmb,false,,fable-architect-session,2026-07-19,proposed
Zambia (Republic of) (MoF),nsm,1,zmb,false,,fable-architect-session,2026-07-19,proposed
